AD,unblocked
AE,blocked
AF,blocked
AG,unblocked
AI,unblocked
AL,unblocked
AM,unblocked
AO,unblocked
AQ,unblocked
AR,unblocked
AS,unblocked
AT,unblocked
AU,unblocked
AW,unblocked
AX,unblocked
AZ,blocked
BA,unblocked
BB,unblocked
BD,unblocked
BE,unblocked
BF,unblocked
BG,unblocked
BH,blocked
BI,unblocked
BJ,unblocked
BL,unblocked
BM,unblocked
BN,unblocked
BO,unblocked
BQ,unblocked
BR,unblocked
BS,unblocked
BT,unblocked
BW,unblocked
BY,blocked
BZ,unblocked
CA,unblocked
CC,unblocked
CD,unblocked
CF,unblocked
CG,unblocked
CH,unblocked
CI,unblocked
CK,unblocked
CL,unblocked
CM,unblocked
CN,blocked
CO,unblocked
CR,unblocked
CU,unblocked
CV,unblocked
CW,unblocked
CX,unblocked
CY,unblocked
CZ,unblocked
DE,unblocked
DJ,unblocked
DK,unblocked
DM,unblocked
DO,unblocked
DZ,blocked
EC,unblocked
EE,blocked
EG,blocked
EH,unblocked
ER,unblocked
ES,unblocked
ET,unblocked
FI,unblocked
FJ,unblocked
FK,unblocked
FM,unblocked
FO,unblocked
FR,unblocked
GA,unblocked
GB,unblocked
GD,unblocked
GE,blocked
GF,unblocked
GG,unblocked
GH,unblocked
GI,unblocked
GL,unblocked
GM,unblocked
GN,unblocked
GP,unblocked
GQ,unblocked
GR,unblocked
GS,unblocked
GT,unblocked
GU,unblocked
GW,unblocked
GY,unblocked
HK,unblocked
HM,unblocked
HN,unblocked
HR,unblocked
HT,unblocked
HU,unblocked
ID,unblocked
IE,unblocked
IL,unblocked
IM,unblocked
IN,unblocked
IO,unblocked
IQ,unblocked
IR,unblocked
IS,unblocked
IT,unblocked
JE,unblocked
JM,unblocked
JO,unblocked
JP,unblocked
KE,unblocked
KG,blocked
KH,unblocked
KI,unblocked
KM,unblocked
KN,unblocked
KP,unblocked
KR,unblocked
KW,unblocked
KY,unblocked
KZ,blocked
LA,unblocked
LB,unblocked
LC,unblocked
LI,unblocked
LK,unblocked
LR,unblocked
LS,unblocked
LT,blocked
LU,unblocked
LV,blocked
LY,blocked
MA,blocked
MC,unblocked
MD,blocked
ME,unblocked
MF,unblocked
MG,unblocked
MH,unblocked
MK,unblocked
ML,unblocked
MM,unblocked
MN,unblocked
MO,unblocked
MP,unblocked
MQ,unblocked
MR,unblocked
MS,unblocked
MT,unblocked
MU,unblocked
MV,blocked
MW,unblocked
MX,unblocked
MY,unblocked
MZ,unblocked
NA,unblocked
NC,unblocked
NE,unblocked
NF,unblocked
NG,unblocked
NI,unblocked
NL,unblocked
NO,unblocked
NP,unblocked
NR,unblocked
NU,unblocked
NZ,unblocked
OM,blocked
PA,unblocked
PE,unblocked
PF,unblocked
PG,unblocked
PH,unblocked
PK,blocked
PL,unblocked
PM,unblocked
PN,unblocked
PR,unblocked
PS,blocked
PT,unblocked
PW,unblocked
PY,unblocked
QA,blocked
RE,unblocked
RO,unblocked
RS,unblocked
RU,blocked
RW,unblocked
SA,blocked
SB,unblocked
SC,unblocked
SD,blocked
SE,unblocked
SG,unblocked
SH,unblocked
SI,unblocked
SJ,unblocked
SK,unblocked
SL,unblocked
SM,unblocked
SN,unblocked
SO,unblocked
SR,unblocked
SS,unblocked
ST,unblocked
SV,unblocked
SX,unblocked
SY,blocked
SZ,unblocked
TC,unblocked
TD,unblocked
TF,unblocked
TG,unblocked
TH,unblocked
TJ,blocked
TK,unblocked
TL,unblocked
TM,blocked
TN,blocked
TO,unblocked
TR,unblocked
TT,unblocked
TV,unblocked
TW,unblocked
TZ,unblocked
UA,blocked
UG,unblocked
UM,unblocked
US,unblocked
UY,unblocked
UZ,blocked
VA,unblocked
VC,unblocked
VE,unblocked
VG,unblocked
VI,unblocked
VN,unblocked
VU,unblocked
WF,unblocked
WS,unblocked
XK,unblocked
YE,blocked
YT,unblocked
ZA,unblocked
ZM,unblocked
ZW,unblocked
